endTime,artistName,trackName,msPlayed,uri
2021-05-22 16:06,Harry Styles,"Sunflower, Vol. 6",17145,6iYMfxznTBlcVOgRHab2W0
2021-05-22 16:10,MOTHICA,No One - Kayge Calypso & DUNN Remix,212307,2vjraapq9uF94FF6q5nd73
2021-05-22 16:13,Ariana Grande,better off,171333,3NbTQ8ZbHU6MSEVUFAVCJ9
2021-05-22 16:16,Ariana Grande,NASA,182000,4uTvPEr01pjTbZgl7jcKBD
2021-05-22 16:19,Ariana Grande,"34+35 Remix (feat. Doja Cat, Megan Thee Stallion) - Remix",182417,3jjBPF4NDMCU51psU8JPpR
2021-05-22 16:20,gianni & kyle,do u even miss me at all?,97659,1AHf5FSofKcUw8tyKkccKF
2021-05-22 16:24,Dua Lipa,Break My Heart,221820,017PF4Q3l4DBUiWoXk4OWT
2021-05-22 16:35,Lauv,Chasing Fire,41871,2zXRAZvUb2B5PzJGwCtFe0
2021-05-22 17:41,Lauv,Chasing Fire,35896,2zXRAZvUb2B5PzJGwCtFe0
2021-05-22 17:45,ZAYN,PILLOWTALK REMIX (feat. Lil Wayne),221609,7Kux9Q1ZYx1V1j3wre0aWk
2021-05-22 17:49,Rihanna,We Found Love,215226,1zv3WFUbZ5vPxFq9I2jAU1
2021-05-22 17:53,Doja Cat,Say So,237893,3Dv1eDb0MEgF93GpLXlucZ
2021-05-22 18:02,Disclosure,Magnets - A-Trak Remix,260442,2M0wZ9iOCsul9PgKCHnIWT
2021-05-22 18:05,Don Diablo,Cutting Shapes,179047,3hENlPbIlUZXQ3MiosF87Q
2021-05-22 18:08,Lady Gaga,Stupid Love,193533,7yBbV2k2S2uhaQc24NF2xt
2021-05-22 18:11,Anitta,Me Gusta (with Cardi B & Myke Towers),180788,7e1VoRlNumuEkXlITMHKLE
2021-05-22 18:14,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",156702,4w8niZpiMy6qz1mntFA5uM
2021-05-22 18:37,DJ Snake,"Taki Taki (with Selena Gomez, Ozuna & Cardi B)",55798,4w8niZpiMy6qz1mntFA5uM
2021-05-22 18:38,Glass Animals,Heat Waves - Oliver Heldens Remix,63353,6yvdWGtowJa7ffgc1UR5SF
2021-05-22 18:43,VÉRITÉ,Saint - EDES Remix,261015,28BQfY3e4VCcNj0xf5iQUG
2021-05-22 18:46,Harry Styles,Adore You,207133,3jjujdWJ72nww5eGnfs2E7
